IP;BAN_DATE;UNBAN_DATE;REASON
1.0.139.183;1467988455;1468074881;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.0.179.43;1467988455;1468074881;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.0.180.191;1467988455;1468074881;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.0.185.15;1467988455;1468074881;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.0.240.131;1468064521;1468150924;"Паразитный трафик на сайт buygoodwine.com.ua / Parasite traffic on site buygoodwine.com.ua"
1.1.154.167;1467988455;1468074874;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.1.166.71;1467988455;1468074874;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.1.199.155;1468042741;1468129144;"Паразитный трафик на сайт geo-sintetika.pl / Parasite traffic on site geo-sintetika.pl"
1.2.160.193;1467988414;1468074837;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.2.167.3;1468053542;1468139945;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
1.2.203.19;1467980882;1468067285;"Паразитный трафик на сайт evsigneev.com / Parasite traffic on site evsigneev.com"
1.2.208.4;1467981002;1468067404;"Паразитный трафик на сайт buygoodwine.com.ua / Parasite traffic on site buygoodwine.com.ua"
1.4.151.118;1467988414;1468074831;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.4.208.135;1468018263;1468104665;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
1.9.96.48;1468055883;1468142285;"Паразитный трафик на сайт coral-club24.com / Parasite traffic on site coral-club24.com"
1.9.106.22;1467988379;1468074785;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.9.107.249;1467985802;1468072204;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
1.9.151.194;1467988379;1468074785;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
