IP;BAN_DATE;UNBAN_DATE;REASON
1.9.30.130;1474803482;1474889888;"Паразитный трафик на сайт kripeg.com.ua / Parasite traffic on site kripeg.com.ua"
1.9.102.193;1474786982;1474873390;"Паразитный трафик на сайт lylka.com / Parasite traffic on site lylka.com"
1.9.107.232;1474786982;1474873390;"Паразитный трафик на сайт lylka.com / Parasite traffic on site lylka.com"
1.20.76.165;1474791781;1474878185;"Брутфорс атака на сайт ecoswit.com.ua/Brute force attack on site ecoswit.com.ua"
1.20.172.200;1474770782;1474857182;"Брутфорс атака на сайт florence.kiev.ua/Brute force attack on site florence.kiev.ua"
1.20.219.42;1474811942;1474898349;"Паразитный трафик на сайт dimka.net.ua / Parasite traffic on site dimka.net.ua"
1.22.0.62;1474785602;1474872007;"Брутфорс атака на сайт ecoswit.com.ua/Brute force attack on site ecoswit.com.ua"
1.47.162.87;1474764904;1474851304;"Брутфорс атака на сайт florence.kiev.ua/Brute force attack on site florence.kiev.ua"
1.52.120.239;1474819021;1474905421;"Брутфорс атака на сайт vinnikovalarisa.ru/Brute force attack on site vinnikovalarisa.ru"
1.52.122.246;1474786982;1474873390;"Паразитный трафик на сайт lylka.com / Parasite traffic on site lylka.com"
1.53.3.202;1474782001;1474868403;"Брутфорс атака на сайт florence.kiev.ua/Brute force attack on site florence.kiev.ua"
1.54.229.91;1474779602;1474866002;"Брутфорс атака на сайт florence.kiev.ua/Brute force attack on site florence.kiev.ua"
1.82.216.135;1474762021;1474848424;"Брутфорс атака на сайт gt-nrg.com/Brute force attack on site gt-nrg.com"
1.160.165.114;1474762021;1474848424;"Брутфорс атака на сайт gt-nrg.com/Brute force attack on site gt-nrg.com"
1.161.60.95;1474777622;1474864022;"Подбор паролей по SSH на сервер S12 / Brute force passwords using SSH on server S12"
1.172.199.65;1474821482;1474907884;"Брутфорс атака на сайт rozklad-bus.info/Brute force attack on site rozklad-bus.info"
1.186.79.36;1474810022;1474896428;"Брутфорс атака на сайт ecoswit.com.ua/Brute force attack on site ecoswit.com.ua"
1.186.163.27;1474797242;1474883646;"Брутфорс атака на сайт ecoswit.com.ua/Brute force attack on site ecoswit.com.ua"
